user_id,timestamp,group,landing_page,converted
785644,2017-01-18 02:22:58.710253,control,old_page,0
925503,2017-01-20 08:53:55.464958,treatment,new_page,0
727846,2017-01-11 02:22:30.612968,control,old_page,0
729726,2017-01-19 01:14:04.655166,treatment,new_page,0
750652,2017-01-18 11:37:39.011220,control,old_page,0
943300,2017-01-18 00:06:24.215998,treatment,new_page,1
772088,2017-01-21 20:36:58.960474,treatment,new_page,0
692128,2017-01-13 00:29:27.159042,treatment,new_page,0
792645,2017-01-12 17:24:31.728124,control,old_page,0
942666,2017-01-22 14:10:15.361600,control,old_page,0
932687,2017-01-05 15:02:33.310563,treatment,new_page,0
692684,2017-01-16 15:44:03.604447,treatment,new_page,0
923593,2017-01-17 14:55:04.928982,control,old_page,0
817547,2017-01-09 08:03:53.538948,treatment,new_page,0
862884,2017-01-08 00:36:12.248183,treatment,new_page,0
852735,2017-01-20 02:57:17.060755,treatment,new_page,0
704555,2017-01-05 22:58:39.341375,treatment,new_page,0
784416,2017-01-07 12:44:28.364262,treatment,new_page,1
651115,2017-01-24 11:34:10.329874,treatment,new_page,1
759252,2017-01-12 00:03:51.199395,treatment,new_page,0
781987,2017-01-11 16:08:28.756420,treatment,new_page,0
706098,2017-01-12 17:08:56.384605,control,old_page,0
933108,2017-01-15 10:34:15.928854,treatment,new_page,0
898168,2017-01-22 19:49:38.407014,treatment,new_page,0
835938,2017-01-23 17:10:42.392612,control,old_page,0
850493,2017-01-05 10:11:28.816960,control,old_page,0
942521,2017-01-19 09:56:37.874069,treatment,new_page,0
867378,2017-01-09 17:04:50.575063,treatment,new_page,0
770758,2017-01-20 08:54:25.556193,control,old_page,0
660328,2017-01-21 00:09:04.307474,control,old_page,0
755584,2017-01-15 01:03:59.608299,control,old_page,1
914674,2017-01-10 00:34:08.176057,treatment,new_page,0
819700,2017-01-12 04:07:02.005248,treatment,new_page,0
887101,2017-01-13 07:28:49.792740,control,old_page,0
697247,2017-01-05 00:16:34.923357,treatment,new_page,1
721179,2017-01-07 13:17:36.645777,control,old_page,0
647594,2017-01-22 19:49:15.319458,control,old_page,1
741591,2017-01-18 20:23:39.559201,treatment,new_page,0
891357,2017-01-03 07:42:31.668574,control,old_page,0
884674,2017-01-13 07:29:10.895576,control,old_page,0
861552,2017-01-09 21:12:14.552403,control,old_page,0
921008,2017-01-10 19:11:03.749130,treatment,new_page,0
723671,2017-01-16 19:12:56.374634,control,old_page,0
642258,2017-01-04 23:42:12.591737,treatment,new_page,0
786416,2017-01-11 19:52:32.367479,treatment,new_page,0
826991,2017-01-17 00:59:15.957946,treatment,new_page,0
848579,2017-01-23 19:23:19.216474,treatment,new_page,0
768047,2017-01-15 03:38:15.488464,treatment,new_page,0
675854,2017-01-21 23:20:05.245444,treatment,new_page,0
748407,2017-01-11 04:04:56.694956,treatment,new_page,0
907207,2017-01-12 00:42:00.737805,treatment,new_page,0
943961,2017-01-10 09:37:08.137267,control,old_page,0
